标题,价格,出租类型,房屋类型,格局,面积,朝向,装修,楼层,小区,位置,发布人
建发 精装一房一厅 越看越满意,2300,整租,普通住宅,1室1厅1卫,50平米,朝南,精装修,第9层/共12层,金枋世家,金尚路,经纪人：
汇景新城二期单身公寓出租 家具家电齐全 拎包入住！！,1500,整租,普通住宅,1室1厅1卫,42平米,朝南,中等装修,第6层/共20层,汇景新城中心,,经纪人：
市行政大唐五缘yoho旁湾悦城精装修出租住家办公两相宜,4800,整租,普通住宅,3室1厅2卫,60平米,朝西,精装修,第15层/共20层,大唐五缘YOHO,市政务中心,经纪人：
江头地铁口中铁财富港湾中等装修2室，采光好，出租,3800,整租,普通住宅,2室2厅1卫,76平米,朝南北,中等装修,第13层/共31层,中铁财富港湾,江头北路,经纪人：
观音山湖里万达精装家电齐全欧式风格拎包入住看房有锁,1900,整租,普通住宅,1室1厅1卫,44平米,朝南,豪华装修,第18层/共24层,湖里万达广场,湖边水库片,经纪人：
观音山附近湖里万达广场.精装修.交通极便.商圈周围.购物方便,2000,整租,公寓,1室0厅1卫,44平米,朝南,精装修,第9层/共31层,湖里万达广场,湖边水库片,经纪人：
观音山湖里万达精装家电齐全欧式风格拎包入住看房有锁,1900,整租,普通住宅,1室1厅1卫,44平米,朝南,豪华装修,第18层/共24层,湖里万达广场,湖边水库片,经纪人：
写字楼408平有隔间纯写字楼帮藕办公家具配套齐全万达广场,26520,整租,普通住宅,6室2厅2卫,408平米,朝北,精装修,第8层/共19层,湖里万达广场,湖边水库片,经纪人：
湖里区乐购旁书香佳缘3房2厅2卫,4500,整租,公寓,3室2厅2卫,135平米,第5层/共11层,,,书香佳缘,枋湖,品牌公寓：
青友品牌公寓免中介费 BRT县后站 湖里高新技术园宏益华府,1450,整租,公寓,1室0厅1卫,20平米,第5层/共13层,,,宏益华府,万达广场,品牌公寓：
业主免中介，湖里高新技术园宏益华府,1450,整租,公寓,1室0厅1卫,22平米,第8层/共13层,,,宏益华府,五缘湾,品牌公寓：
青友公寓出租力拓新城小区 交通便利 家具齐全 拎包入住 多套房源 价格1600-3200不等,1800,整租,公寓,1室1厅1卫,30平米,第6层/共13层,,,力拓新城,五缘湾,品牌公寓：
个人非中介 高新技术园力拓大厦,2600,整租,公寓,2室1厅1卫,43平米,第8层/共13层,,,力拓大厦,县后,品牌公寓：
国际山庄精装修家具家电齐全185平4房8千,8000,整租,普通住宅,4室2厅2卫,185平米,朝南北,豪华装修,第2层/共4层,国际山庄四期,金尚路,经纪人：
东方巴黎广场三期看着舒心住着放心4房4900随时看房,4900,整租,普通住宅,3室2厅2卫,152平米,朝南北,豪华装修,第15层/共34层,东方巴黎广场三期,江头北路,经纪人：
冠宏花园自住型装修，真实照片，干净清爽，随时来电看房,4600,整租,普通住宅,3室2厅2卫,96平米,朝南北,豪华装修,第13层/共28层,冠宏花园,江头北路,经纪人：
冠宏花园房东自住装修，真实照片，干净清爽，3房4000,4000,整租,普通住宅,3室2厅2卫,99平米,朝南北,豪华装修,第16层/共28层,冠宏花园,江头北路,经纪人：
@急租急租！大唐五缘YOHO、挑高站直、精装全套、随时看房！,2800,整租,普通住宅,1室1厅1卫,33平米,朝南,中等装修,第15层/共26层,大唐五缘YOHO,五缘湾,经纪人：
实拍照！不议价！特房五缘新座、全新一房一厅一阳台、随时看房！,3000,整租,普通住宅,1室1厅1卫,60平米,朝南,中等装修,第22层/共27层,特房五缘新座,五缘湾,经纪人：
建发湾区SOHO、复式楼中楼、办公居家、看房方便！,5000,整租,普通住宅,2室1厅2卫,61平米,朝东,精装修,第16层/共20层,建发湾区SOHO,五缘湾,经纪人：
五缘湾建发湾区SOHO、精装挑高楼中楼、新家具家电、高层美景,4300,整租,普通住宅,2室2厅2卫,61平米,朝南北,精装修,第10层/共20层,建发湾区SOHO,五缘湾,经纪人：
软件园二期世茂湖滨SOHO小两房,2400,整租,公寓,2室1厅1卫,50平米,朝南,中等装修,第9层/共9层,世茂湖滨首府,湖边水库片,经纪人：
湖里万达广场软件园二期蔡塘世茂湖滨首府高装2房,3900,整租,普通住宅,2室1厅1卫,80平米,朝南北,精装修,第9层/共28层,世茂湖滨首府,湖边水库片,经纪人：
特房山水尚座超值高性价比看着舒心住着放心,6100,整租,普通住宅,4室2厅2卫,132平米,朝南北,精装修,第26层/共32层,特房山水尚座,湖边水库片,经纪人：
湖里万达广场、稀缺户型便宜出租带全套家具！知名物业,2800,整租,公寓,1室0厅1卫,42平米,朝北,精装修,第28层/共31层,湖里万达广场,,经纪人：
出租万达广场超值1室房子 办公人士首选 低价出租 高品质小区,1800,整租,公寓,1室0厅1卫,44平米,朝南,精装修,第30层/共31层,湖里万达广场,,经纪人：
高新技术园周边湖里万达广场公寓低价出租、家具齐全，拎包入住,2800,整租,公寓,1室0厅1卫,44平米,朝南,精装修,第13层/共31层,湖里万达广场,,经纪人：
抢租湖里万达广场精品 降价 只此一套 家具配套齐全！,2000,整租,公寓,1室0厅1卫,44平米,朝南,精装修,第22层/共31层,湖里万达广场,,经纪人：
湖里万达广场 家具配套齐全 全盘最低价 2200急租 好房子,2200,整租,公寓,1室0厅1卫,44平米,朝南,精装修,第15层/共31层,湖里万达广场,,经纪人：
湖里万达广场 全套全新家具 仅2700元 免中介费可押一付一,2700,整租,公寓,1室1厅1卫,46平米,朝北,精装修,第9层/共31层,湖里万达广场,湖边水库片,经纪人：
大唐五缘YOHO 全套家具家电 免中介费 每月仅需2500元,2500,整租,公寓,1室1厅1卫,37平米,朝北,精装修,第6层/共24层,大唐五缘YOHO,五缘湾,经纪人：
湖里万达广场公寓全套欧式家具朝南边角套看小区中庭,2800,整租,公寓,1室0厅1卫,44平米,朝南,精装修,第6层/共31层,湖里万达广场,湖边水库片,经纪人：
免中介 独门独户1室1厅公寓,1550,整租,公寓,1室1厅1卫,22平米,第5层/共13层,,,尚忠公寓,机场附近,品牌公寓：
全新整栋商住皆可包物业宽带多套,1500,整租,公寓,1室1厅1卫,25平米,第6层/共6层,,,中铺社,殿前,品牌公寓：
青友公寓直租免中介费 国际石材新出精装公寓 设计新颖 设施配备齐全 包物业宽带,1900,整租,公寓,1室1厅1卫,25平米,第9层/共9层,,,国际石材中心,机场附近,品牌公寓：
智能门锁家电齐全拎包入住,1338,整租,公寓,1室1厅1卫,30平米,第8层/共14层,,,UONE天地,高新技术园,品牌公寓：
青友公寓免中介 湖里高新区精品公寓  设施配备齐全 生活交通便利 包物业宽带,2600,整租,公寓,2室1厅1卫,50平米,第6层/共13层,,,宏益华府,市政务中心,品牌公寓：
抢租湖里万达广场精品 降价 只此一套 家具配套齐全！,2000,整租,公寓,1室0厅1卫,44平米,朝南,精装修,第22层/共31层,湖里万达广场,,经纪人：
湖里万达广场 家具配套齐全 全盘最低价 2200急租 好房子,2200,整租,公寓,1室0厅1卫,44平米,朝南,精装修,第15层/共31层,湖里万达广场,,经纪人：
湖里万达广场 全套全新家具 仅2700元 免中介费可押一付一,2700,整租,公寓,1室1厅1卫,46平米,朝北,精装修,第9层/共31层,湖里万达广场,湖边水库片,经纪人：
大唐五缘YOHO 全套家具家电 免中介费 每月仅需2500元,2500,整租,公寓,1室1厅1卫,37平米,朝北,精装修,第6层/共24层,大唐五缘YOHO,五缘湾,经纪人：
湖里万达广场公寓全套欧式家具朝南边角套看小区中庭,2800,整租,公寓,1室0厅1卫,44平米,朝南,精装修,第6层/共31层,湖里万达广场,湖边水库片,经纪人：
湖里万达广场+温馨单间独门独户+万达SOHO+便宜出租。,240,整租,公寓,1室1厅1卫,44平米,朝南,豪华装修,第3层/共31层,万达SOHO公寓,万达广场,经纪人：
便宜出租湖里万达广场+温馨单间独门独户+万达SOHO。,240,整租,公寓,1室1厅1卫,44平米,朝南,豪华装修,第3层/共31层,万达SOHO公寓,万达广场,经纪人：
江头S.M附近建邦大厦国宝新城旁龙门天下2100,2100,整租,普通住宅,1室1厅1卫,50平米,朝西南,中等装修,第11层/共25层,龙门天下,江头北路,经纪人：
江头台湾街国宝新城正规豪装5房仅租5000,4999,整租,普通住宅,5室2厅2卫,160平米,朝南北,豪华装修,第2层/共11层,国宝新城,江头,经纪人：
江头华永天地明发豪庭旁新景天湖广场正规3房,3600,整租,普通住宅,3室2厅1卫,96平米,朝南北,精装修,第7层/共13层,新景天湖广场,江头北路,经纪人：
吕厝福隆新景园冠宏花园精装修3室环境优美,4000,整租,普通住宅,3室2厅1卫,85平米,朝南北,精装修,第13层/共28层,冠宏花园,江头北路,经纪人：
江头福隆冠宏新景园豪峰大厦温馨3室,4500,整租,普通住宅,3室2厅1卫,95平米,朝南北,精装修,第15层/共15层,豪峰大厦,江头北路,经纪人：
冠宏花园少有户型拎包入住温馨家庭首选,3800,整租,普通住宅,3室2厅2卫,103平米,朝南北,中等装修,第11层/共28层,冠宏花园,江头北路,经纪人：
中等装修3室朝南北环境优美，欢迎你的入住,3500,整租,普通住宅,3室2厅2卫,103平米,朝南北,中等装修,第3层/共6层,中港花园二期,SM附近,经纪人：
江头吕厝sm福隆国际办公出租带办公家具可直接入驻办公,5000,整租,普通住宅,4室1厅1卫,110平米,朝南北,精装修,第4层/共30层,福隆国际,江头北路,经纪人：
江头吕厝地铁口冠宏花园花园小区精装正规1房1厅带阳台,3200,整租,普通住宅,1室1厅1卫,68平米,朝南北,精装修,第12层/共30层,冠宏花园,江头北路,经纪人：
枋湖南路挑高精装修家具家电齐全拎包入住,1750,整租,普通住宅,1室1厅1卫,27平米,朝南,中等装修,第5层/共11层,永建顶尚,安兜,经纪人：
吉家家世界对面水晶苹果一房一厅直接拎包入住,2100,整租,普通住宅,1室1厅1卫,45平米,朝南,中等装修,第3层/共12层,水晶苹果,金湖路,经纪人：
双十中学对面古龙居住公园两房两厅家具家电齐全拎包入住,3300,整租,普通住宅,2室2厅1卫,86平米,朝南,中等装修,第7层/共13层,古龙居住公园,枋湖,经纪人：
青友公寓 双十BRT 力拓新城 一房一厅 家具家电齐全周边配套齐全,1600,整租,公寓,1室1厅1卫,30平米,第6层/共11层,,,力拓新城,机场附近,品牌公寓：
湖里高新技术园UONE社区,1338,整租,公寓,3室1厅3卫,25平米,第14层/共14层,,,UONE天地,高新技术园,品牌公寓：
全新家具拎包入住免中间费用,1438,整租,公寓,1室1厅1卫,28平米,第10层/共14层,,,UONE天地,机场附近,品牌公寓：
青友免中介 湖里 江头 华永天地1室1厅2600 精装 采光好,2600,整租,公寓,1室1厅1卫,68平米,第15层/共15层,,,华永天地,江头,品牌公寓：
个人出租清新风公寓全新装修首次推出,1599,整租,公寓,1室0厅1卫,33平米,第11层/共13层,,,信诚VBO,高新技术园,品牌公寓：
江头福隆冠宏新景园豪峰大厦温馨3室,4500,整租,普通住宅,3室2厅1卫,95平米,朝南北,精装修,第15层/共15层,豪峰大厦,江头北路,经纪人：
冠宏花园少有户型拎包入住温馨家庭首选,3800,整租,普通住宅,3室2厅2卫,103平米,朝南北,中等装修,第11层/共28层,冠宏花园,江头北路,经纪人：
中等装修3室朝南北环境优美，欢迎你的入住,3500,整租,普通住宅,3室2厅2卫,103平米,朝南北,中等装修,第3层/共6层,中港花园二期,SM附近,经纪人：
江头吕厝sm福隆国际办公出租带办公家具可直接入驻办公,5000,整租,普通住宅,4室1厅1卫,110平米,朝南北,精装修,第4层/共30层,福隆国际,江头北路,经纪人：
江头吕厝地铁口冠宏花园花园小区精装正规1房1厅带阳台,3200,整租,普通住宅,1室1厅1卫,68平米,朝南北,精装修,第12层/共30层,冠宏花园,江头北路,经纪人：
枋湖南路挑高精装修家具家电齐全拎包入住,1750,整租,普通住宅,1室1厅1卫,27平米,朝南,中等装修,第5层/共11层,永建顶尚,安兜,经纪人：
吉家家世界对面水晶苹果一房一厅直接拎包入住,2100,整租,普通住宅,1室1厅1卫,45平米,朝南,中等装修,第3层/共12层,水晶苹果,金湖路,经纪人：
双十中学对面古龙居住公园两房两厅家具家电齐全拎包入住,3300,整租,普通住宅,2室2厅1卫,86平米,朝南,中等装修,第7层/共13层,古龙居住公园,枋湖,经纪人：
软件园岭兜佳园单间出租朝南带飘窗1500押一付三,1500,整租,普通住宅,1室0厅1卫,20平米,朝南,中等装修,第4层/共18层,岭兜佳园,安兜,经纪人：
五缘湾建发SOHO住家精装修复式双层落地窗坐拥湾悦城,4000,整租,普通住宅,2室2厅2卫,63平米,朝西,精装修,第16层/共20层,湾区SOHO,市政务中心,经纪人：
建发湾区SOHO，办公精装，3200繁华地段，湾悦城乐购天虹,3200,整租,普通住宅,2室2厅2卫,53平米,朝西南,精装修,第18层/共20层,湾区SOHO,五缘湾,经纪人：
五缘湾建发SOHO住家精装修复式双层落地窗坐拥湾悦城,4000,整租,普通住宅,2室2厅2卫,63平米,朝西,精装修,第16层/共20层,湾区SOHO,市政务中心,经纪人：
BRT旁：建发湾区SOHO2室1厅办公装修拎包即用》,4300,合租,普通住宅,2室1厅2卫,63平米,朝西,精装修,第18层/共20层,建发湾区SOHO,五缘湾,经纪人：
建发湾区S0H0办公住家精装修挑高五米超便宜仅此一套,3500,整租,普通住宅,2室1厅2卫,57平米,朝东,精装修,第16层/共20层,湾区SOHO,市政务中心,经纪人：
五缘湾建发SOHO住家精装修复式双层落地窗坐拥湾悦城,4000,整租,普通住宅,2室2厅2卫,63平米,朝西,精装修,第16层/共20层,湾区SOHO,市政务中心,经纪人：
建发湾区S0H0办公住家精装修挑高五米超便宜仅此一套,5000,整租,普通住宅,2室1厅2卫,57平米,朝东,精装修,第16层/共20层,湾区SOHO,市政务中心,经纪人：
大唐五缘五缘湾YOHO租一层用两层温馨居家精装拎包入住,2500,整租,普通住宅,1室1厅1卫,33平米,朝东,精装修,第16层/共24层,大唐五缘YOHO,五缘湾,经纪人：
湾区SOHO精装3房高层湾景热BRT沿线湾悦城,5500,整租,普通住宅,3室2厅2卫,121平米,朝东南,精装修,第12层/共20层,建发湾区SOHO,五缘湾,经纪人：
建发湾区SOHO精装修2房高层看湾景带家具BRT湾悦城,5000,整租,普通住宅,2室2厅2卫,63平米,朝南,中等装修,第19层/共20层,建发湾区SOHO,五缘湾,经纪人：
万达附近金山BRT旁湖景中装两室一厅,2799,整租,公寓,2室1厅1卫,65平米,第10层/共31层,,,融景湾,湖边水库片,品牌公寓：
个人出租免中介 湖里高新技术园BRT县后站宏益华府小区 单间精装多样风格配套齐全公寓（赠送物业宽带 可押一付一 可短租 拎包入住 交通便利）,1450,整租,公寓,1室0厅1卫,22平米,第11层/共13层,,,宏益华府,五缘湾,品牌公寓：
青友公寓 双十BRT 力拓新城 一房一厅 家具家电齐全周边配套齐全,1850,整租,公寓,1室1厅1卫,30平米,第8层/共11层,,,力拓新城,机场附近,品牌公寓：
青友品牌公寓出租免中介 湖里高新技术与园宏益华府小区 两室一厅精装多样风格配套齐全公寓（赠送物业宽带 可押一付一 可短租 拎包入住 交通便利）,2799,整租,公寓,2室1厅1卫,52平米,第8层/共13层,,,宏益华府,五缘湾,品牌公寓：
湖里高新技术园60m²,2650,整租,公寓,2室1厅1卫,60平米,第8层/共13层,,,宏益华府,高新技术园,品牌公寓：
建发湾区S0H0办公住家精装修挑高五米超便宜仅此一套,5000,整租,普通住宅,2室1厅2卫,57平米,朝东,精装修,第16层/共20层,湾区SOHO,市政务中心,经纪人：
大唐五缘五缘湾YOHO租一层用两层温馨居家精装拎包入住,2500,整租,普通住宅,1室1厅1卫,33平米,朝东,精装修,第16层/共24层,大唐五缘YOHO,五缘湾,经纪人：
湾区SOHO精装3房高层湾景热BRT沿线湾悦城,5500,整租,普通住宅,3室2厅2卫,121平米,朝东南,精装修,第12层/共20层,建发湾区SOHO,五缘湾,经纪人：
建发湾区SOHO精装修2房高层看湾景带家具BRT湾悦城,5000,整租,普通住宅,2室2厅2卫,63平米,朝南,中等装修,第19层/共20层,建发湾区SOHO,五缘湾,经纪人：
万科湖心岛好房型 豪华装修 即租即入住,20000,整租,普通住宅,4室2厅3卫,255平米,朝东南,豪华装修,第19层/共28层,万科湖心岛,湖边水库片,经纪人：
太古宿舍站附近超大3房1厅2卫180平米（个人出租不用中介费）,2600,整租,公寓,3室1厅2卫,180平米,朝南,中等装修,第8层/共8层,安兜社,机场附近,个人                                                ：
万科湖心岛湖景四房豪华装修拧包入住,20000,整租,普通住宅,4室2厅3卫,255平米,朝东南,豪华装修,第19层/共28层,万科湖心岛,湖边水库片,经纪人：
万科湖心岛四房看全湖景豪华装修有家具,20000,整租,普通住宅,4室2厅3卫,255平米,朝东南,豪华装修,第19层/共28层,万科湖心岛,湖边水库片,经纪人：
便宜急租万达公寓有厨房独立卫生间家具网络齐全环境优美水晶国际,2000,整租,普通住宅,1室1厅1卫,48平米,朝南,中等装修,第6层/共30层,湖里万达广场,万达广场,经纪人：
1700/月世茂湖滨看湖景，单间拎包入住！,1700,整租,普通住宅,1室0厅1卫,30平米,朝南北,精装修,第24层/共32层,世茂湖滨首府,湖边水库片,经纪人：
建发中央天成高使用率，舒适环境等你享受3房4500,4500,整租,普通住宅,3室2厅1卫,141平米,朝南北,中等装修,第15层/共25层,建发中央天成,祥店,经纪人：
真实的房源和价格不是广告房源便宜出租了2室,2800,整租,普通住宅,2室1厅1卫,60平米,朝南北,中等装修,第11层/共25层,建发中央天成,祥店,经纪人：
新房出租，楼王位置，看房有锁186平只要5千一月,5000,整租,普通住宅,4室2厅2卫,186平米,朝南北,中等装修,第10层/共26层,建发中央天成,祥店,经纪人：
建发中央天成高使用率，舒适环境等你享受3房4500,4500,整租,普通住宅,3室2厅1卫,141平米,朝南北,中等装修,第15层/共25层,建发中央天成,祥店,经纪人：
真实的房源和价格不是广告房源便宜出租了2室,2800,整租,普通住宅,2室1厅1卫,60平米,朝南北,中等装修,第11层/共25层,建发中央天成,祥店,经纪人：
江头台湾街吕厝地铁口租赁专盘科瑞大厦精装1房拎包入住,1700,整租,普通住宅,1室1厅1卫,40平米,朝南北,中等装修,第13层/共16层,科瑞大厦,江头北路,经纪人：
吕厝江头台湾街华永天地旁中环花园1房一厅拎包入住,1800,整租,普通住宅,1室1厅1卫,50平米,朝南北,精装修,第13层/共17层,中环花园,江头北路,经纪人：
S.M江头台湾街华永天地1房1厅1阳台带独立厨房,2700,整租,普通住宅,1室1厅1卫,55平米,朝西南,精装修,第13层/共15层,华永天地,江头北路,经纪人：
江头台湾街小区带电梯全新精装修领包入住被套齐全急租,1650,整租,普通住宅,1室0厅1卫,40平米,朝南北,精装修,第11层/共17层,嘉盛花园江头,台湾街,经纪人：
双十BRT高新园内宏益华府,1450,整租,公寓,1室0厅1卫,23平米,第3层/共13层,,,宏益华府,高新技术园,品牌公寓：
青领域情侣公寓一房一厅等你“入睡”,1599,整租,公寓,1室1厅1卫,35平米,第11层/共13层,,,信诚VBO,市政务中心,品牌公寓：
泊寓（华昌店），超棒长租公寓,1755,整租,公寓,1室1厅1卫,28平米,第4层/共7层,,,泊寓（华昌店）,华昌路,品牌公寓：
青友公寓 县后BRT 宏益华府 一房 家具家电齐全 周边配套齐全,1500,整租,公寓,1室0厅1卫,20平米,第6层/共13层,,,宏益华府,市政务中心,品牌公寓：
青友品牌公寓出租力拓新城小区 交通便利 家具齐全 拎包入住 多套房源 价格1600-3200不等,2600,整租,公寓,2室1厅1卫,46平米,第9层/共13层,,,l力拓新城,万达广场,品牌公寓：
BRT旁：建发湾区SOHO2室1厅办公装修拎包即用》,4300,合租,普通住宅,2室1厅2卫,63平米,朝西,精装修,第18层/共20层,建发湾区SOHO,五缘湾,经纪人：
建发湾区S0H0办公住家精装修挑高五米超便宜仅此一套,3500,整租,普通住宅,2室1厅2卫,57平米,朝东,精装修,第16层/共20层,湾区SOHO,市政务中心,经纪人：
五缘湾建发SOHO住家精装修复式双层落地窗坐拥湾悦城,4000,整租,普通住宅,2室2厅2卫,63平米,朝西,精装修,第16层/共20层,湾区SOHO,市政务中心,经纪人：
建发湾区S0H0办公住家精装修挑高五米超便宜仅此一套,5000,整租,普通住宅,2室1厅2卫,57平米,朝东,精装修,第16层/共20层,湾区SOHO,市政务中心,经纪人：
大唐五缘五缘湾YOHO租一层用两层温馨居家精装拎包入住,2500,整租,普通住宅,1室1厅1卫,33平米,朝东,精装修,第16层/共24层,大唐五缘YOHO,五缘湾,经纪人：
湾区SOHO精装3房高层湾景热BRT沿线湾悦城,5500,整租,普通住宅,3室2厅2卫,121平米,朝东南,精装修,第12层/共20层,建发湾区SOHO,五缘湾,经纪人：
建发湾区SOHO精装修2房高层看湾景带家具BRT湾悦城,5000,整租,普通住宅,2室2厅2卫,63平米,朝南,中等装修,第19层/共20层,建发湾区SOHO,五缘湾,经纪人：
万科湖心岛好房型 豪华装修 即租即入住,20000,整租,普通住宅,4室2厅3卫,255平米,朝东南,豪华装修,第19层/共28层,万科湖心岛,湖边水库片,经纪人：
太古宿舍站附近超大3房1厅2卫180平米（个人出租不用中介费）,2600,整租,公寓,3室1厅2卫,180平米,朝南,中等装修,第8层/共8层,安兜社,机场附近,个人                                                ：
万科湖心岛湖景四房豪华装修拧包入住,20000,整租,普通住宅,4室2厅3卫,255平米,朝东南,豪华装修,第19层/共28层,万科湖心岛,湖边水库片,经纪人：
万科湖心岛四房看全湖景豪华装修有家具,20000,整租,普通住宅,4室2厅3卫,255平米,朝东南,豪华装修,第19层/共28层,万科湖心岛,湖边水库片,经纪人：
1700/月世茂湖滨看湖景，单间拎包入住！,1700,整租,普通住宅,1室0厅1卫,30平米,朝南北,精装修,第24层/共32层,世茂湖滨首府,湖边水库片,经纪人：
